Title,Year,Affiliations
The Governance of Physical Artificial Intelligence,2023,Independent
"Does an artificial intelligence perform market manipulation with its own
  discretion? -- A genetic algorithm learns in an artificial market simulation",2020,Independent
Impact of Artificial Intelligence on Economic Theory,2015,Independent
The case for psychometric artificial general intelligence,2020,Independent
"Proceedings of the Thirteenth Conference on Uncertainty in Artificial
  Intelligence (1997)",2013,Independent
"Proceedings of the Ninth Conference on Uncertainty in Artificial
  Intelligence (1993)",2013,Independent
"Proceedings of the Second Conference on Uncertainty in Artificial
  Intelligence (1986)",2013,Independent
Artificial Intelligence in Humans,2013,Independent
"AAAI FSS-18: Artificial Intelligence in Government and Public Sector
  Proceedings",2018,Independent
"Watershed of Artificial Intelligence: Human Intelligence, Machine
  Intelligence, and Biological Intelligence",2021,Independent
"Perspective: Purposeful Failure in Artificial Life and Artificial
  Intelligence",2021,Independent
"The Artificial Scientist: Logicist, Emergentist, and Universalist
  Approaches to Artificial General Intelligence",2021,Independent
Human $\neq$ AGI,2020,Independent
"Artificial Intelligence Technology analysis using Artificial
  Intelligence patent through Deep Learning model and vector space model",2021,Independent
Three IQs of AI Systems and their Testing Methods,2017,Independent
"Examining correlation between trust and transparency with explainable
  artificial intelligence",2021,Independent
"Proceedings of the Twenty-Seventh Conference on Uncertainty in
  Artificial Intelligence (2011)",2012,Independent
"Proceedings of the Twenty-Sixth Conference on Uncertainty in Artificial
  Intelligence (2010)",2012,Independent
"Proceedings of the Twenty-Fifth Conference on Uncertainty in Artificial
  Intelligence (2009)",2012,Independent
"Proceedings of the Twenty-Fourth Conference on Uncertainty in Artificial
  Intelligence (2008)",2012,Independent
"Proceedings of the Twenty-First Conference on Uncertainty in Artificial
  Intelligence (2005)",2012,Independent
"Proceedings of the Twenty-Second Conference on Uncertainty in Artificial
  Intelligence (2006)",2012,Independent
"Proceedings of the Twentieth Conference on Uncertainty in Artificial
  Intelligence (2004)",2012,Independent
"Proceedings of the Twenty-Eighth Conference on Uncertainty in Artificial
  Intelligence (2012)",2013,Independent
"Proceedings of the Nineteenth Conference on Uncertainty in Artificial
  Intelligence (2003)",2013,Independent
"Proceedings of the Seventeenth Conference on Uncertainty in Artificial
  Intelligence (2001)",2013,Independent
"Proceedings of the Eighteenth Conference on Uncertainty in Artificial
  Intelligence (2002)",2013,Independent
"Proceedings of the Sixteenth Conference on Uncertainty in Artificial
  Intelligence (2000)",2013,Independent
"Proceedings of the Fifteenth Conference on Uncertainty in Artificial
  Intelligence (1999)",2013,Independent
"Proceedings of the Fourteenth Conference on Uncertainty in Artificial
  Intelligence (1998)",2013,Independent
"Proceedings of the Twelfth Conference on Uncertainty in Artificial
  Intelligence (1996)",2013,Independent
"Proceedings of the Eleventh Conference on Uncertainty in Artificial
  Intelligence (1995)",2013,Independent
"Proceedings of the Tenth Conference on Uncertainty in Artificial
  Intelligence (1994)",2013,Independent
"Proceedings of the Eighth Conference on Uncertainty in Artificial
  Intelligence (1992)",2013,Independent
"Proceedings of the Seventh Conference on Uncertainty in Artificial
  Intelligence (1991)",2013,Independent
"Proceedings of the Sixth Conference on Uncertainty in Artificial
  Intelligence (1990)",2013,Independent
"Proceedings of the Fifth Conference on Uncertainty in Artificial
  Intelligence (1989)",2013,Independent
"Proceedings of the Fourth Conference on Uncertainty in Artificial
  Intelligence (1988)",2013,Independent
"Proceedings of the Third Conference on Uncertainty in Artificial
  Intelligence (1987)",2013,Independent
"Proceedings of the First Conference on Uncertainty in Artificial
  Intelligence (1985)",2013,Independent
"Proceedings of the Twenty-Ninth Conference on Uncertainty in Artificial
  Intelligence (2013)",2013,Independent
Philosophy in the Face of Artificial Intelligence,2016,Independent
"Advances in Artificial Intelligence Require Progress Across all of
  Computer Science",2017,Independent
"AAAI FSS-19: Artificial Intelligence in Government and Public Sector
  Proceedings",2019,Independent
"AAAI FSS-20: Artificial Intelligence in Government and Public Sector
  Proceedings",2020,Independent
"AAAI FSS-21: Artificial Intelligence in Government and Public Sector
  Proceedings",2021,Independent
"Intelligence of Astronomical Optical Telescope: Present Status and
  Future Perspectives",2023,Independent
AAAI-2019 Workshop on Games and Simulations for Artificial Intelligence,2019,Independent
From Statistical Relational to Neuro-Symbolic Artificial Intelligence,2020,Independent
A Study on Artificial Intelligence IQ and Standard Intelligent Model,2015,Independent
"Hybrid Systems Knowledge Representation Using Modelling Environment
  System Techniques Artificial Intelligence",2014,Independent
"A Finite-Time Technological Singularity Model With Artificial
  Intelligence Self-Improvement",2020,Independent
Creativity and Artificial Intelligence: A Digital Art Perspective,2018,Independent
"Foundations of Intelligence in Natural and Artificial Systems: A
  Workshop Report",2021,Independent
Tests of Machine Intelligence,2007,Independent
An Approximation of the Universal Intelligence Measure,2011,Independent
Decision under Uncertainty,2013,Independent
The Book of Why: Review,2019,Independent
"Bridging the Gap between Artificial Intelligence and Artificial General
  Intelligence: A Ten Commandment Framework for Human-Like Intelligence",2022,Independent
"Techniques for Adversarial Examples Threatening the Safety of Artificial
  Intelligence Based Systems",2019,Independent
Action Selection Properties in a Software Simulated Agent,2002,Independent
"A Novel Method for Developing Robotics via Artificial Intelligence and
  Internet of Things",2014,Independent
"Modular Belief Updates and Confusion about Measures of Certainty in
  Artificial Intelligence Research",2014,Independent
Stovepiping and Malicious Software: A Critical Review of AGI Containment,2018,Independent
Human-Centered Artificial Intelligence and Machine Learning,2019,Independent
"Machine Learning in Artificial Intelligence: Towards a Common
  Understanding",2020,Independent
"Deep Learning, Natural Language Processing, and Explainable Artificial
  Intelligence in the Biomedical Domain",2022,Independent
"Quantifying Natural and Artificial Intelligence in Robots and Natural
  Systems with an Algorithmic Behavioural Test",2014,Independent
Seeding the Singularity for A.I,2019,Independent
"Physical Artificial Intelligence: The Concept Expansion of
  Next-Generation Artificial Intelligence",2021,Independent
Can Artificial Intelligence Do Everything That We Can?,2018,Independent
Hybrid Super Intelligence and Polymetric Analysis,2021,Independent
A Formal Measure of Machine Intelligence,2006,Independent
"Computational Narrative Intelligence: A Human-Centered Goal for
  Artificial Intelligence",2016,Independent
Understanding Human Intelligence through Human Limitations,2020,Independent
"Intelligence as information processing: brains, swarms, and computers",2021,Independent
Artificial Intelligence and Economic Theories,2017,Independent
Human-in-the-loop Artificial Intelligence,2017,Independent
"Use of Artificial Intelligence Techniques / Applications in Cyber
  Defense",2019,Independent
Accelerating Entrepreneurial Decision-Making Through Hybrid Intelligence,2021,Independent
What Does Artificial Life Tell Us About Death?,2009,Independent
"Integrating Generative Artificial Intelligence in Intelligent Vehicle
  Systems",2023,Independent
Measuring the intelligence of an idealized mechanical knowing agent,2019,Independent
"Intelligent behavior depends on the ecological niche: Scaling up AI to
  human-like intelligence in socio-cultural environments",2021,Independent
Artificial Intelligence for Interstellar Travel,2018,Independent
"Measuring Intelligence and Growth Rate: Variations on Hibbard's
  Intelligence Measure",2021,Independent
Cognitive Architecture for Co-Evolutionary Hybrid Intelligence,2022,Independent
A Definition of Artificial Intelligence,2012,Independent
Guidelines for Artificial Intelligence Containment,2017,Independent
Physics Enhanced Artificial Intelligence,2019,Independent
Ethical Considerations in Artificial Intelligence Courses,2017,Independent
"Explanation in Artificial Intelligence: Insights from the Social
  Sciences",2017,Independent
Artificial Intelligence and Medicine: A literature review,2022,"Biomedical Robotics Laboratory, Department of Biomedical Engineering, City University of Hong Kong"
"B-SMART: A Reference Architecture for Artificially Intelligent Autonomic
  Smart Buildings",2022,Independent
"Improving content marketing processes with the approaches by artificial
  intelligence",2017,Independent
"Dislocated Accountabilities in the AI Supply Chain: Modularity and
  Developers' Notions of Responsibility",2022,Independent
Latest Trends in Artificial Intelligence Technology: A Scoping Review,2023,Independent
A Framework for Searching for General Artificial Intelligence,2016,Independent
Brain Intelligence: Go Beyond Artificial Intelligence,2017,Independent
Intelligence Quotient and Intelligence Grade of Artificial Intelligence,2017,Independent
"Evaluation of Multidisciplinary Effects of Artificial Intelligence with
  Optimization Perspective",2019,Independent
"Ancilia: Scalable Intelligent Video Surveillance for the Artificial
  Intelligence of Things",2023,Independent
"Future Trends for Human-AI Collaboration: A Comprehensive Taxonomy of
  AI/AGI Using Multiple Intelligences and Learning Styles",2020,Independent
Swarm Intelligence,2009,Independent
"Artificial Intelligence in Intelligent Tutoring Robots: A Systematic
  Review and Design Guidelines",2019,Independent
Building Safer AGI by introducing Artificial Stupidity,2018,Independent
Hybrid Reasoning and the Future of Iconic Representations,2008,LIPN
Diverse Consequences of Algorithmic Probability,2011,Independent
"Proceedings of the Twenty-Third Conference on Uncertainty in Artificial
  Intelligence (2007)",2012,Independent
A Backwards View for Assessment,2013,Independent
"Foundations of Probability Theory for AI - The Application of
  Algorithmic Probability to Problems in Artificial Intelligence",2013,Independent
Multilayered Model of Speech,2018,Independent
"Proceedings of the Artificial Intelligence for Cyber Security (AICS)
  Workshop 2019",2018,Independent
The Next Decade in AI: Four Steps Towards Robust Artificial Intelligence,2020,Independent
Artificial Intelligence in Minimally Invasive Interventional Treatment,2021,Independent
2021 Drexel Society of Artificial Intelligence Research Conference,2021,Independent
"On the influence of intelligence in (social) intelligence testing
  environments",2012,Independent
The Embeddings World and Artificial General Intelligence,2022,Independent
Artificial and Biological Intelligence,2006,Independent
Consider ethical and social challenges in smart grid research,2019,Independent
Planning with Brain-inspired AI,2020,Independent
"A Classification of Artificial Intelligence Systems for Mathematics
  Education",2021,Independent
"An Introductory Review of Spiking Neural Network and Artificial Neural
  Network: From Biological Intelligence to Artificial Intelligence",2022,Independent
Human in the AI loop via xAI and Active Learning for Visual Inspection,2023,Independent
Artificial Intelligence: A Child's Play,2019,Independent
"Man and Machine: Questions of Risk, Trust and Accountability in Today's
  AI Technology",2013,Independent
"Controlled Language and Baby Turing Test for General Conversational
  Intelligence",2020,Independent
Frontiers in Collective Intelligence: A Workshop Report,2021,Independent
Blockchain Intelligence: When Blockchain Meets Artificial Intelligence,2019,Independent
"Synergetic Learning Systems: Concept, Architecture, and Algorithms",2020,Independent
"Intelligent Computing: The Latest Advances, Challenges and Future",2022,Independent
Measurements of collective machine intelligence,2013,Independent
What is an intelligent system?,2020,Independent
The Role of Artificial Intelligence Technologies in Crisis Response,2008,Independent
A Systematic Approach to Artificial Agents,2009,Independent
Comparison between the two definitions of AI,2013,Independent
Probability Judgement in Artificial Intelligence,2013,Independent
AI Methods in Algorithmic Composition: A Comprehensive Survey,2014,Independent
ICON Challenge on Algorithm Selection,2015,Independent
A Python Engine for Teaching Artificial Intelligence in Games,2015,Independent
Rational Choice and Artificial Intelligence,2017,Independent
A Reputation System for Artificial Societies,2018,Independent
Bias Amplification in Artificial Intelligence Systems,2018,Independent
"Using Scratch to Teach Undergraduate Students' Skills on Artificial
  Intelligence",2019,Independent
"Implications of Quantum Computing for Artificial Intelligence alignment
  research",2019,Independent
Artificial Intelligence Approaches,2019,Independent
"Imagine All the People: Citizen Science, Artificial Intelligence, and
  Computational Research",2021,Independent
"MHealth: An Artificial Intelligence Oriented Mobile Application for
  Personal Healthcare Support",2021,Independent
Certifiable Artificial Intelligence Through Data Fusion,2021,Independent
"Proceedings of the Robust Artificial Intelligence System Assurance
  (RAISA) Workshop 2022",2022,Independent
CLAS12 Track Reconstruction with Artificial Intelligence,2022,Independent
State of the Art in Artificial Intelligence applied to the Legal Domain,2022,Independent
Witgenstein's influence on artificial intelligence,2023,Independent
AI for Agile development: a Meta-Analysis,2023,Independent
Intelligent Autonomous Things on the Battlefield,2019,Independent
What can the brain teach us about building artificial intelligence?,2019,Independent
Co-evolutionary hybrid intelligence,2021,Independent
"The Emerging Artificial Intelligence Protocol for Hierarchical
  Information Network",2023,Independent
Simulation of Human and Artificial Emotion (SHArE),2020,Independent
Quantization of Games: Towards Quantum Artificial Intelligence,2004,Independent
Identifying Independencies in Causal Graphs with Feedback,2013,Independent
Coefficients of Relations for Probabilistic Reasoning,2013,Independent
"Evolution towards Smart Optical Networking: Where Artificial
  Intelligence (AI) meets the World of Photonics",2017,Independent
"Explainable artificial intelligence (XAI), the goodness criteria and the
  grasp-ability test",2018,Independent
Constructing Lower Probabilities,2013,Independent
The Assumptions Behind Dempster's Rule,2013,Independent
"The Nature of the Unnormalized Beliefs Encountered in the Transferable
  Belief Model",2013,Independent
"KI, Philosophie, Logik",2018,Independent
"Super forecasting the technological singularity risks from artificial
  intelligence",2022,Independent
"To Root Artificial Intelligence Deeply in Basic Science for a New
  Generation of AI",2020,Independent
Quantum Operation of Affective Artificial Intelligence,2023,Independent
"Digital twin brain: a bridge between biological intelligence and
  artificial intelligence",2023,Independent
One Decade of Universal Artificial Intelligence,2012,Independent
Artificial Intelligence and Asymmetric Information Theory,2015,Independent
"Designing Artificial Cognitive Architectures: Brain Inspired or
  Biologically Inspired?",2018,Independent
"Surveying the reach and maturity of machine learning and artificial
  intelligence in astronomy",2019,Independent
"Mind the Gap! Bridging Explainable Artificial Intelligence and Human
  Understanding with Luhmann's Functional Theory of Communication",2023,Independent
"A Review on Explainable Artificial Intelligence for Healthcare: Why,
  How, and When?",2023,Independent
Game-based Platforms for Artificial Intelligence Research,2023,Independent
Naive Artificial Intelligence,2020,Independent
"Compression, The Fermi Paradox and Artificial Super-Intelligence",2021,Independent
How Intelligent is your Intelligent Robot?,2017,Independent
Realizing Intelligence,2018,Independent
Memory Based Machine Intelligence Techniques in VLSI hardware,2012,Independent
"Towards a Hierarchical Model of Consciousness, Intelligence, Mind and
  Body",2005,Independent
Agent Models of Political Interactions,2008,Independent
A primer on Answer Set Programming,2005,Independent
"Quantitative Analysis of Whether Machine Intelligence Can Surpass Human
  Intelligence",2015,Independent
Introduction to intelligent computing unit 1,2017,Independent
"Design of a dynamic and self adapting system, supported with artificial
  intelligence, machine learning and real time intelligence for predictive
  cyber risk analytics in extreme environments, cyber risk in the colonisation
  of Mars",2020,Independent
"Intelligence via ultrafilters: structural properties of some
  intelligence comparators of deterministic Legg-Hutter agents",2019,Independent
Universal Intelligence: A Definition of Machine Intelligence,2007,Independent
Measuring Intelligence through Games,2011,Independent
Extended Intelligence,2022,Independent
Seq2Seq AI Chatbot with Attention Mechanism,2020,Independent
Ethical Considerations for AI Researchers,2020,Independent
The Next Decade of Telecommunications Artificial Intelligence,2021,AsiaInfo Technologies
Avoiding Undesired Choices Using Intelligent Adaptive Systems,2014,Independent
Object-Process Methodology for Intelligent System Development,2021,Independent
Detecting Qualia in Natural and Artificial Agents,2017,Independent
